SCENARIO;FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;90;0,03796269237424289;0,028769952037362052;0,0010008558423284515;0,16984371737622403;0,1463653658425513;0,02631978377171639;0,19484017135653237;0,16961707472233464;0,031636305762975096;0,025223096634197723;96,63813005554603;3,3618699444539777
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;105;0,05450170528548075;0,03842351814592091;0,00209721641304882;0,2109199421398634;0,1727030508495354;0,039945054799318314;0,233456002890225;0,19601917800542096;0,045795375454829715;0,03743682488480404;94,82433762399656;5,17566237600344
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;120;0,0663400125750669;0,04111333924025179;0,004306829020797969;0,23481022654242312;0,1784999260371238;0,0595057293053355;0,25756555005486836;0,20276424546810956;0,06562643538085829;0,0548013045867588;90,51780478653288;9,482195213467111
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;135;0,08161057870561793;0,04793592238018015;0,006417446135083786;0,26472940887528107;0,193953574479224;0,07315587783979474;0,28567565298012;0,2189427376739867;0,08010896413687912;0,06673291530613329;88,19310318682165;11,806896813178358
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;150;0,08798259426705515;0,04646978670498823;0,010327007156813815;0,2767861922451041;0,1894835761740869;0,09353037614525433;0,2966186006761126;0,21556851974485566;0,10162188325756326;0,08105008093125696;81,81762304762925;18,182376952370742
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;165;0,0941363177705611;0,04789892078410163;0,011894534602978842;0,28710895152808646;0,19165922189566087;0,1018876193725802;0,3068164235671896;0,21885822073685426;0,10906206766322947;0,08795820283033531;80,10729681705452;19,89270318294548
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;180;0,10055450624418391;0,04800488923995713;0,014912402615057385;0,29812277501414863;0,19141165030003382;0,11421625844268962;0,31710330531891956;0,21910018083049848;0,12211634868049971;0,09800312448842108;76,29840354632354;23,701596453676455
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;0;0,0030794170041714315;0,0030794170041714315;0,0;0,04062951246904716;0,04062951246904716;0,0;0,05549249502564677;0,05549249502564677;0,0;0,0;100,0;0,0
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;15;0,002128256434951209;0,0021814058136580927;2,065031514171726e-05;0,032553768946846424;0,033256294817274164;0,0032609435763672322;0,04613302976123733;0,0467055223036644;0,004544261781820812;-0,0005724925424270694;99,06222575929651;0,9377742407034981
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;30;0,0013362520732760465;0,0013001990488671466;3,895558276465091e-05;0,025534037440729154;0,02466584328499654;0,005303017137681737;0,03655478181135878;0,03605827296012867;0,006241440760325368;0,0004965088512301069;97,09103177150031;2,9089682284996794
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;45;0,000809227104038426;0,0009477114514719181;0,00014671741803147753;0,019681749963506436;0,0214900510700287;0,011301585199201809;0,028446917302906934;0,030784922469805215;0,012112696563171947;-0,0023380051668982806;86,59415681367656;13,405843186323432
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;60;0,0008457676257226839;0,0009201311987595553;0,00016826820794876255;0,022216450734165755;0,02314380246204501;0,01131073534488678;0,02908208427404549;0,03033366444661039;0,012971823616930757;-0,001251580172564902;84,53984751262759;15,460152487372408
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;75;0,00047134935690800546;0,0006289434829781195;9,832305246695563e-05;0,015870563460411637;0,019524789168154238;0,008765530034347817;0,021710581680553967;0,025078745642039584;0,009915798125564862;-0,0033681639614856172;86,480465183678;13,51953481632199
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;90;0,0003981148822197005;0,0005877138037533166;0,0001033624575659138;0,014575632554258802;0,019632321122471565;0,009419998085057293;0,019952816398185507;0,024242809320565894;0,01016673288553967;-0,004289992922380387;85,04326318941993;14,956736810580063
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;105;0,0006102949867256742;0,0009444905967336129;6,530909155620056e-05;0,02183954230163542;0,028408119445969313;0,007696542166062256;0,024704149180363896;0,030732565736261153;0,008081404058466609;-0,006028416555897257;93,53247061634498;6,4675293836550285
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;120;0,0006607722655054832;0,0007965885224585354;1,681028358231938e-05;0,024389259851116656;0,02696918078321533;0,003674762006159182;0,025705490960210877;0,028223899844963582;0,004100034583063828;-0,002518408884752705;97,93332822012096;2,066671779879038
SC2 22.03.2018 14:30 Cloudy evening;FS4_SEV4_TIME;135;0,0006836815846816901;0,0005691240673069505;1,5099711927955404e-05;0,024833747104942353;0,022331543116447198;0,002705382655805616;0,026147305495627843;0,02385632132804533;0,0038858347787773225;0,0022909841675825132;97,41542325652513;2,58457674347488
